2023,2,13,月,卒業合否発表日（薬学部薬学科のみ）
2023,2,14,火,再試験（薬学部のみ）開始
2023,2,17,金,再試験（薬学部のみ）終了
2023,2,18,土,再試験予備日（薬学部のみ）
2023,3,3,金,秋学期卒業合否発表日・成績発表日 *3
2023,3,16,木,冬集中科目成績発表日
2023,3,20,月,卒業式（衣笠）
2023,3,21,火,卒業式（OIC）（春分の日）
2023,3,22,水,卒業式（BKC）
2023,3,31,金,春期休暇終了
2023,3,31,金,秋学期終了
